hotel,city,address,contact,room_type,total_rooms,sunday_tariff,monday_tariff,tuesday_tariff,wednesday_tariff,thursday_tariff,friday_tariff,saturday_tariff,lat,long
ALAMPUR,ALAMPUR,"Haritha Hotel Alampur,  Alampur, Jogulamba Gadwal District, Telangana",9705392100,A/C ROOM,15,1500,1500,1500,1500,1500,1500,1500,15.8798959,78.126955
ALAMPUR,ALAMPUR,"Haritha Hotel Alampur,  Alampur, Jogulamba Gadwal District, Telangana",9705392100,A/C SUITE,1,3000,3000,3000,3000,3000,3000,3000,15.8798959,78.126955
ALISAGAR,ALISAGAR,"Haritha Hotel Alisagar, Alisagar, Nizambad District, Telangana",7997253366,A/C ROOM,4,1500,1200,1200,1200,1200,1500,1500,18.6760051,78.0111574
ALISAGAR,ALISAGAR,"Haritha Hotel Alisagar, Alisagar, Nizambad District, Telangana",7997253366,NON A/C ROOM,3,999,750,750,750,750,999,999,18.6760051,78.0111574
ANANTHAGIRI VIKARABAD,ANANTHAGIRI VIKARABAD,"Haritha Hotel Ananthagiri, Ananthagiri Hills, Vikarabad, Telangana",9010911122,A/C SUITE,1,3700,3100,3100,3100,3100,3700,3700,17.3117741,77.875494
ANANTHAGIRI VIKARABAD,ANANTHAGIRI VIKARABAD,"Haritha Hotel Ananthagiri, Ananthagiri Hills, Vikarabad, Telangana",9010911122,A/C STANDARD,30,2300,1500,1500,1500,1500,2300,2300,17.3117741,77.875494
"BASARA,HARITHA HOTEL",BASARA,"Haritha Hotel Basar, Basar, Nirmal District, Telangana",9848074462,NON A/C ROOM,2,750,750,750,750,750,750,750,18.8795107,77.9562862
"BASARA,HARITHA HOTEL",BASARA,"Haritha Hotel Basar, Basar, Nirmal District, Telangana",9848074462,NON A/C 4 BEDDED ROOM,2,950,950,950,950,950,950,950,18.8795107,77.9562862
"BASARA,HARITHA HOTEL",BASARA,"Haritha Hotel Basar, Basar, Nirmal District, Telangana",9848074462,NON A/C 3 BEDDED ROOM,1,850,850,850,850,850,850,850,18.8795107,77.9562862
"BASARA,HARITHA HOTEL",BASARA,"Haritha Hotel Basar, Basar, Nirmal District, Telangana",9848074462,A/C ROOM,12,1300,1300,1300,1300,1300,1300,1300,18.8795107,77.9562862
